Headline,Body_ID,Stance
Militant Group Says It Killed American Journalist in Syria,2495,2
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",821,3
"ISIS Claims It Kidnapped Gill Rosenberg, The First Western Woman To Fall Into The Group's Hands",1628,3
What TBS’s Sped-Up Seinfeld Reruns Tell Us About the Sorry State of America,2237,3
Islamic State claims to have beheaded American journalist,1385,3
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1125,3
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,2448,3
Meteorite 'caused mysterious boom in Nicaragua',345,3
"Michael Zehaf-Bibeau, slain Ottawa shooter, had criminal record in Quebec, B.C.",2087,3
Hope Fades for Girls' Release After Boko Haram 'Truce' Breached,2463,2
ISIS cracks down on five confirmed Ebola cases among fighters: official,2045,3
Nasa questions whether crater in Nicaragua caused by meteorite,1661,2
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',1899,3
Court Orders Probe Into Complaints Of 'Forced Castration' In Religious 'Dera' Sect,1048,3
Saudi Arabian cleric issues fatwa against snowmen,35,3
Actor has his testicles stolen after meeting ‘young blonde woman at a bar’,573,2
Michael Phelps’ alleged girlfriend says she was born intersex,618,3
Report: Possible audio tape of Michael Brown shooting,321,3
Amazon plans ad-supported video streaming service - NY post,887,3
CBI registers 'criminal conspiracy' case against Dera chief after claims 400 male followers were forcibly castrated,2336,2
Shots Heard In Alleged Brown Shooting Recording [AUDIO],1818,2
Armed U.S. drones spotted flying over Syria in possible hunt for ISIS leader,1509,2
"Oh Hey, Paul Rudd Was One Of The Dallas Airport Homophobe Heroes, No Big",119,3
Tourist wakes to find strange red trail on his stomach - and discovers a spider has burrowed through his appendix scar and crawled UNDER his skin while on holiday in Bali,2045,3
ISIS Video: America’s Air Dropped Weapons Now in Our Hands,2168,2
Vice CEO Throws Down $300K on Lavish Vegas Dinner,1547,3
What Glenn Beck Fears May Be Done With the 11 Missing Jets,176,3
Two GOP Congressmen Say Suspected Terrorists Caught Crossing U.S.–Mexico Border,855,2
'Hairgate': iPhone 6 users encounter latest Apple problem after 'bendgate',689,3
"Once Again, The Banksy 'Arrest' Is A Giant Hoax. Repeat: A Hoax.",2342,3
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,2132,3
Amazon.com to open first physical store in Manhattan: DJ,2477,3
Lynch Mob Castrates Alleged Rapist In Rajasthan,2149,3
Vogue’s Rat Infestation: Disturbing New Details,2064,0
"Feminist Aborts Baby For Being A Boy, Shocked People Don’t Approve",1363,3
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,115,3
ADVISORY-Islamist rebel leader killed in U.S. strike - Somali government,313,1
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,472,3
Video: Marine survives Taliban sniper headshot thanks to helmet,2046,0
New iOS 8 bug can delete all of your iCloud documents,139,3
"Wildest Apple Watch rumor yet: 100,000 apps at launch",986,3
Sergeant-at-Arms stopped shooter on Parliament Hill,1568,3
Weather Reporter Caught Writing His Name In The Snow Was NOT Ready To Go On Camera (UPDATED),975,1
Cheese addiction breaks Kim Jong-un's ankles,2210,3
PopWatch Teenager fights for the right to be recognized as Teletubbies' smiling sun-baby,2081,3
ISIS cracks down on five confirmed Ebola cases among fighters: official,1438,3
Media outlets identify 'Jihadi John',2531,3
J.J. Abrams Asks Disney To Move Up 'Star Wars: The Force Awakens' Release Date,808,3
iPhone Game Developer Quits Job By Hiding The Greatest Letter Of Resignation Ever Inside His Game,125,3
Lego letter to parents in 1974 on gender equality still resonates 40 years on,1547,0
"FIDEL CASTRO DEATH WATCH: RUMORS HEAT UP, CUBA DENIES",1401,2
Christian Bale Won't Play Steve Jobs After All,687,3
"Suspected meteorite leaves crater in Managua, is linked to asteroid",1627,3
KIM DINE WITH ME: Porky president Kim Jong-un to open UK restaurant serving DOG,2290,3
Canadian Soldier Shot At Ottawa War Memorial: Report,2307,3
'They ate through the ceilings and pooped on the keyboards': Rats are 'taking over' Vogue's new World Trade Center office and Anna Wintour 'no longer wants to work there',320,3
Mexico prosecutor: Students not in 1st mass graves,1948,3
Audio recording allegedly captures moment Michael Brown was shot,1720,3
"In Moscow, police are looking for a felon, cut the male genitals",271,3
Lego letter from the 1970s still offers a powerful message to parents 40 years later,1169,3
Isis leader Abu Bakr al-Baghdadi's 'wife and son detained in Lebanon',254,3
WHO investigates media reports ISIS fighters contracted Ebola,1574,3
Rumor Robert Plant Ripped Up $800 Million Contract To Reunite Led Zeppelin Called 'Rubbish',2133,3
Michelle Obama’s face blurred by Saudi state television,1242,3
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,2530,2
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,1982,3
Islamic State killer 'Jihadi John' named as Mohammed Emwazi,1107,3
Brian Williams Demands Apology From Social Media Over Erroneous Urination Reports (Video),775,3
Pentagon: ISIS seized materials airdropped to Kurds,1627,3
New policy could reduce marijuana possession arrests,296,3
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,1786,3
ESPN's Domestic Violence Panel Is Missing Something Important,1020,3
Boko Haram denies it has agreed ceasefire,381,3
Islamic State claims to have beheaded American journalist,2047,2
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,2302,3
Audio recording of Michael Brown being gunned down WAS made at the time he was killed: App company appears to confirm tape of ELEVEN bullets being fired - including final volley of 'kill shots',844,3
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,1471,2
Kurds Deny Gill Rosenberg was in Kobane,1949,3
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,214,3
"After Giving A Homeless Man $100, This Guy Secretly Filmed Him...",2061,0
"Cook said to confirm Apple Watch is showerproof, lasts a day",1985,3
Lynch mob chop man's penis off after catching him allegedly trying to rape teenager,1476,2
Russian Yeti Or Bigfoot Hoax? New Footage Sparks Debate,1718,3
Tropical spider burrowed under Bali tourist's skin,2293,2
Alleged audio of Michael Brown shooting has surfaced,1104,3
High school student scores $72M playing the stock market,1987,2
Mexico Says Missing Students Not Found In First Mass Graves,1419,3
Boko Haram denies ceasefire claim by Nigeria's government,1603,3
British hostage David Haines beheaded by Islamic State terrorists,2206,0
Alleged Ottawa gunman: What we know so far about Michael Zehaf-Bibeau,1301,3
"See How This Homeless Man Spends A Hundred Dollars, And Keep A Tissue Handy [Video]",467,3
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2045,3
Ottawa Shooting: Soldier Shot at Canada's National War Memorial,2269,3
"Woman, Ting Su, Finds Husband Cheating With Her Own Twin, Gets Spectacular Revenge",1058,0
"North Korean leader Kim Jong-un not missing, just having ankle surgery",1081,2
Seth Rogen reportedly nabs Steve Wozniak role in Steve Jobs filmSteve Jobs Iconic Moments,1355,3
Police hunt tweed-jacket wearing man who slaps shoppers for SNEEZING,678,3
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,971,3
Does Vogue's New Office Have a Rat Infestation?,639,3
Meteorite leaves crater in Nicaraguan capital Managua,1795,3
James Foley remembered as 'brave and tireless' journalist,874,3
Homeless man receives $100... then shocks everyone with how he spends it,2492,3
Reports: Big Bank Hank of pioneering rap group Sugarhill Gang has died,2398,2
Islamic State using 'SCORPION bombs' to terrorise victims,1720,3
Kim Jong-un ‘is so fat from eating cheese that he has broken his ankles’,2327,3
First bendgate... now it's HAIRGATE: Angry iPhone 6 owners claim design is causing chunks of their hair to be ripped out when they make a phone call,403,3
"Vice Media Chief Said to Pay $300,000 for Dinner for 30",2130,2
ISIS Getting Ebola,720,3
Tropical spider burrowed under man's skin through appendix scar and lived there for THREE DAYS,1602,2
Apple Watch may be powered by Samsung processor,1658,3
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",1786,3
"North Korean leader Kim Jong-un’s mystery illness actually two broken ankles, newspaper says",1081,2
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,908,3
"Jeh Johnson: Politicians Shouldn't 'Feed The Flames Of Fear' Over ISIS, Ebola",666,0
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,734,3
Video messaging service verifies timing of CNN audio recording,1299,3
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",1093,2
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1603,3
"Despite ceasefire announcement, new Boko Haram attacks reported",1541,3
Apple in talks to become launch partner for cable-free HBO Now service,2306,3
Boko Haram 'ceasefire' doubts after attacks reported in Nigeria,1372,3
Passenger Wears A Hazmat Suit To Dulles Airport,2489,3
Eggnog-chugging contest leads to hospital stay,2509,3
Woman Spends Entire Week In KFC After Getting Dumped By Her Boyfriend,1805,3
Taliban member swapped by Obama for Bowe Bergdahl tried to return to terror: report,972,3
Obama: murder of James Foley 'shocks the conscience of the entire world',2127,3
Has Ebola infected Isis militants in Mosul?,1778,2
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,1586,3
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,1580,0
Christian Bale won't play Steve Jobs,2455,2
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",125,3
Video Purports To Show Beheading Of U.S. Journalist By Militants,2453,3
6 Islamist militants killed in US attack in Somalia,511,3
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,1726,3
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,2177,3
"Islamic State Training Pilots in Military Jets, Monitors Say",1115,2
Could Kim Jong Un open a restaurant in Scotland?,773,3
Cheeky vandals paint giant penis on bonnet of £1.5 million Bugatti Veyron sportscar,2252,3
Nasa questions whether crater in Nicaragua caused by meteorite,524,3
Expert casts doubt on Bunbury man Dylan Thomas’s burrowing stomach-spider story,1864,2
Soldier shot in Ottawa at War Memorial,1988,3
Macaulay Culkin dead: Actor is victim of another death hoax,2022,3
BATMAN VS. SUPERMAN BATMOBILE STOLEN,1528,2
Did Comcast Get a Man Fired From His Job for Complaining About Its Service?,1338,3
Video shows ISIL beheading of photojournalist James Foley,694,2
Isis claims it has US airdrop of weapons,1648,3
That Boko Haram Ceasefire in Nigeria Isn’t A Ceasefire,1125,3
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",2156,3
Comcast blocks Tor,1403,1
Elderly Woman Arrested for Kidnapping Neighbor’s Cats & Making Fur Coats,1034,3
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",139,3
Staff Reporter,707,2
Lebanon detains wife and son of Al-Baghdadi,2337,1
"Reports Isis fighters have contracted Ebola are 'incorrect', says Iraqi health ministry",2025,2
"Kim Jong-un Broke Both Ankles and Is Hospitalized, Report Claims",1854,2
New iOS 8 bug can delete all of your iCloud documents,2054,2
"TEXAS TURKEY FARM CONTAMINATED WITH EBOLA, OVER 250,000 HOLIDAY TURKEYS INFECTED",186,3
The Apple Watch Will Debut by Late March [Report],670,3
Robot security guards now patrolling Microsoft's Silicon Valley campus,2288,3
Dylan Thomas Finds Tropical Spider Burrowed Under Skin,2175,3
"Rats at Vogue's NYC offices - watch your step, Anna Wintour",2033,3
Boko Haram denies it has agreed ceasefire,2403,2
A Wanted Man Responded To A Police Facebook Post That He Would Turn Himself In,1693,3
Video Purports To Show Beheading Of U.S. Journalist By Militants,1471,2
Aaron Sorkin Confirms Christian Bale Will Play Steve Jobs,2097,3
"ISIS Unleash ""Scorpion"" Bombs In Iraq",185,3
Spider Burrows Into Australian Man's Appendix Scar (VIDEO),1321,1
Michael Phelps’ alleged girlfriend says she was born intersex,645,3
ISIL Beheads American Photojournalist in Iraq,139,3
"Kim Yo Jong, Kim Jong-Un’s Sister, Takes Control of North Korea While Brother Gets Treatment?",465,3
"Despite no Ebola case in Kansas City, the rumor goes viral",1943,0
Don’t ‘Reset All Settings’ in iOS 8 unless you want to lose your iCloud files,1155,3
Soldier shot in Ottawa at War Memorial,2269,3
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",731,3
The Pumpkin-Spice Condom Is Just a Figment of Your Own Gross Imagination,698,3
"Canadian woman 'captured by ISIS in Syria' says she is actually fine and still fighting the jihadists, despite kidnap reports",513,3
More than 200 kidnapped Nigerian girls to be released after deal reached with Boko Haram,1883,3
This Woman Is Wrongly Being Called A Sexual Predator After Her Private Sex Tape Was Used For A Hoax,1734,3
Jihadi John UNMASKED: Islamic State killer NAMED as west Londoner Mohammed Emwazi,1780,2
Pumpkin Spice Condoms Could Be The Only Thing To Save The World From Basic Children,1400,2
"North Korean leader Kim Jong Un had ankle surgery, report says",1349,3
Bunbury local discovered a spider had burrowed under his skin on Bali holiday,859,3
"No, Banksy has not been arrested (sigh)",1020,3
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,1004,2
CNN Airs Alleged Audio from Michael Brown Shooting,1605,2
Guru who ordered 400 followers to be castrated 'so they could be closer to God' is investigated for grievous bodily harm in India,1011,3
Guantanamo detainee freed in Bowe Bergdahl swap 'back to terrorism',472,3
"UBS survey finds 10% of consumers want a smartwatch, expects 24M Apple Watch sales in fiscal 2015",568,3
Man has his PENIS cut off by angry mob after 'attempted rape' of teenager,36,3
Bugatti Veyron Vandalized With Penis Graffiti? Viral Photo Isn’t What It Seems,1148,0
Has Kim's SISTER taken over North Korea? Dictator fails to show for key Communist event (but does send a nice flower basket instead),81,3
North Korea Leader Kim Jong Un Is Still In Charge: Source,1580,3
Former PGA Tour player: Tiger Woods suspended for drug test failure,43,3
NET Extra: Back-from-the-dead Catholic priest claims God is a female...,2492,3
Isis 'fed murdered kidnap victim to his own mother after she travelled to their headquarters and demanded to see him',2352,3
Pictured: Libyan Islamist rebels pose with planes seized from Tripoli airport as U.S. officials warn they could be used to carry out terrorist attack on 9/11 anniversary,1489,3
Alleged audio of Michael Brown shooting released,776,3
Boyfriend cuts off his penis and throws it in the bin after girlfriend dumps him for being bad in bed,831,3
Man who skipped work for 24 years is finally fired,1951,0
Big Bank Hank of The Sugarhill Gang is dead at 57,1458,3
Isis claims to behead US journalist,1347,3
Michael Phelps’ alleged girlfriend says she was born intersex,1349,0
Nigerians doubtful of girls' release after Boko Haram 'truce' breached,1821,2
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",826,3
"Viral Video Of Homeless Man Spending $100 On Food For Other Homeless Was Faked, Witness Says",344,3
Kim Jong-Un 'bans the name Kim Jong-un',1034,3
Scientists Doubt That Meteor Caused Crater In Nicaragua,2475,0
Fence Jumper Made It Deeper Into the White House Than Secret Service Claims,887,3
Boko Haram denies truce to release kidnapped schoolgirls,171,3
Journalist James Wright Foley reportedly beheaded by ISIS,984,3
Saudi cleric condemns snowmen as anti-Islamic,1950,3
Islamic State May Have Fighter Jets Now After Seizing Russian-Made MiGs,487,3
"Absent from duty for 25 years, CPWD official dismissed",1242,3
Did a Meteorite Impact in Nicaragua over the Weekend?,373,3
Meteorite strike in Nicaragua puzzles experts,715,2
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,2287,3
Zack Snyder Makes Fun of Stolen Batmobile Rumor with New Image,964,3
Small red book among finds in 113-year-old Boston time capsule,690,3
Kurds fear Isis use of chemical weapon in Kobani,1253,3
New Audio Shows Michael Brown Was Shot at 11 Times,1569,3
DHS Rebuffs Congressman’s Claim ISIS Infiltrating Southern Border,2367,1
Luke Somers 'killed in failed rescue attempt in Yemen',298,3
Anna Wintour: Is Rat Infestation At NYC ‘Vogue’ Office Kim Kardashian’s Fault?,1737,3
"No, there aren’t any Ebola cases in Iraq",2003,2
URGENT: ISIS kills 300 Iraqi soldiers by chlorine gas attack in Saqlawiyah,969,0
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,311,3
Ferguson riots: audio may have captured Michael Brown shooting,1803,3
"ISIS Claims an American Hostage, Kayla Mueller, Died in Airstrike in Syria",2260,3
Did Paul Rudd Help Tackle That Dallas Airport Gay-Basher?,1844,3
WAS NBC METEOROLOGIST MIKE SEIDEL PEEING IN THE SNOW ON CAMERA? A TESTY BRIAN WILLIAMS EXPLAINS,1968,2
Canadian Soldier Shot At Ottawa War Memorial: Report,373,3
ISIS Extremists Claim to Behead British Hostage David Haines,1528,3
"Boko Haram agrees to ceasefire, release of school girls",2356,2
Led Zeppelin’s Robert Plant ripped up a $924 million reunion contract,2223,3
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",1009,3
"Nigeria, Boko Haram reach ceasefire deal, kidnapped girls to go free, official says",1439,3
"Boko Haram denies cease-fire, leader says he married off kidnapped girls",2096,3
"North Korea leader Kim is still in charge, has injured leg: source",1933,3
Report: 4 ISIS Terrorists Caught at Southern Border in 36 Hrs,570,3
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",2188,2
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,2287,3
Missing Planes,1958,2
Islamic State militants claim to behead missing American journalist,1372,3
ISIS Militants Allegedly Contracted Ebola,1905,3
Boko Haram ceasefire ignored as violence flares in Borno state,2139,1
Report: Missing Libyan jetliners raise fears of suicide airliner attacks on 9/11,1699,3
Batman Set To Play Steve Jobs In Upcoming Biopic,1846,1
Tropical spider 'burrowed under man's skin through scar' - video report,1888,3
ISIS Getting Ebola,1013,3
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',1547,3
REPORT: Alleged New Audio of Michael Brown Shooting,2235,2
"Apple Watch to Feature Time-Only 'Power Reserve' Mode, Prototypes Disguised as Samsung Watches",2423,3
"Video showing American journalist beheaded believed real, officials and family say",2388,2
Report: Former Baseball Star Jose Canseco Accidentally Shot At Home,2078,3
Luke Somers 'killed in failed rescue attempt in Yemen',401,3
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,1627,3
"No, that high school kid didn't make $72 million trading stocks",2407,0
ISIL video claims beheading of kidnapped journalist James Foley,2304,3
Tiger Woods serving secret PED suspension?,757,2
Pentagon confirms al-Shabab leader killed in airstrike in Somalia,1084,0
